texto,etiqueta,y_pred,error_type,tiene_modismo,top5_tokens,top5_pesos
"@USER Uy, por quién me tomas, por una loca agresiva? 😅😅",0,1,falso_positivo,True,"[""loca "", ""agresiva"", "", "", ""me "", ""una ""]","[0.5291, 0.1888, 0.1039, -0.0623, 0.0491]"
"@USER Venga, todos los fachas conmigo...EA EA EA, VENEZUELA SE CABREA...Venga esa borregada, que no se os escucha...",0,1,falso_positivo,True,"[""fac"", ""has "", ""Venga"", ""USE"", ""VE""]","[0.1322, 0.109, 0.062, 0.0597, 0.0485]"
"@USER @USER Los fascistas cuando son imbéciles, se denominan antifascistas.....aquí un ejemplo😂😂😂😂😂😂😂",0,1,falso_positivo,False,"[""imb\u00e9ciles"", ""fas"", "", "", ""se "", ""ejemplo\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02""]","[0.1773, 0.131, 0.0677, 0.0556, 0.0541]"
"@USER @USER Se sabía, pero dale q las gallinas mean  La izquierda toda, toda fue x el apruebo y un gran porcentaje d la derechita y ahora, estan ""aterrados"" le dieron navajas a los monos y ahora cuiden el ""cogote"" o terminaran, degollados, tropa d zanganos",0,1,falso_positivo,False,"[""zan"", ""ganos"", ""tropa "", ""lados"", ""gol""]","[0.073, 0.0485, 0.0403, 0.0391, 0.0344]"
La madre de Mon El está puto loca co,0,1,falso_positivo,True,"[""puto "", ""loca "", ""co"", ""est\u00e1 "", ""madre ""]","[0.7097, 0.2822, -0.133, 0.0358, 0.0255]"
"Tampoco se cierra al puerta del Estado donde no dejan de ingresar politicos ANTIESPAÑOLES, pagados por paises extranjeros y miles de asesores y enchufados a los que parece que tenemos que mantener hasta que doblen, que con tan buena vida seguro que sera tarde.",0,1,falso_positivo,False,"[""poli"", ""pagados "", ""Estado "", ""extranjeros "", ""pais""]","[0.1084, 0.0565, 0.0407, 0.0365, 0.0349]"
Cuando ciclismo se parece demasiado a lo detestable de otros deportes. Mucho monguer. LINK,0,1,falso_positivo,False,"[""guer"", ""mon"", ""detes"", "". "", ""ciclismo ""]","[0.1615, 0.1558, 0.1014, 0.0926, -0.0758]"
@USER ¿Qué apuestas a que no hace nada por las musulmanas? Ellos en slips y ellas apenas enseñan la cara.,0,1,falso_positivo,False,"[""musulmana"", ""y "", ""ense\u00f1an "", ""apuestas "", ""cara""]","[0.3326, 0.0996, 0.063, 0.0585, 0.0556]"
"Los de #BoicotALosGoya, yo no me lo perdería, creo q les dan el premio a los más fachas a vuestros iconos, Bertín, Arévalo y Toni Cantó",0,1,falso_positivo,True,"[""Bo"", ""vuestros "", ""fac"", ""has "", ""os""]","[0.0991, 0.0941, 0.0885, 0.0851, 0.0619]"
@USER mucho subnormal suelto para mi gusto,0,1,falso_positivo,True,"[""sub"", ""r"", ""no"", ""USE"", ""mal ""]","[0.2317, 0.1855, 0.1559, 0.1051, 0.0697]"
TOMA @USER Y LA PUTA Q TE PARIO PENDEJA COMUNISTA DE MIERDA LINK,1,0,falso_negativo,True,"[""PU"", ""LA "", ""TA "", ""MI"", ""COMUN""]","[0.0847, -0.078, 0.0751, 0.0673, -0.0636]"
@USER Los albañiles bolivianos q me están reformando la cocina y el baño son unos gentlemen al lado de esta guarrilla callejolera.,1,0,falso_negativo,True,"[""guar"", ""USE"", ""ba\u00f1o "", ""rilla "", ""unos ""]","[0.0317, 0.0303, 0.0217, 0.0208, 0.0191]"
"Azul hombres, rosado mujeres #falso LINK",1,0,falso_negativo,False,"[""Azul "", ""rosa"", "", "", ""falso "", ""IN""]","[-0.0538, 0.0357, 0.0293, 0.0202, 0.0141]"
Le tuve que enseñar mi Whatsapp al técnico de AT&T y ahora sabe que soy puta,1,0,falso_negativo,True,"[""puta"", ""soy "", ""AT"", ""Le "", ""sabe ""]","[0.3316, -0.18, 0.0328, 0.0298, 0.0268]"
"@USER Catalunya ha votado a la facha de la arrimadas, que los catalanes independientes tengan mas escaños es otra cosa muy diferente como para decir que hemos votado independencia...",1,0,falso_negativo,True,"[""."", ""fac"", ""catal"", ""ha "", ""Catalunya ""]","[0.003, 0.0021, -0.0015, -0.0013, -0.0011]"
"@USER ALGUIEN HA EXPKICADO PORQUE LOS ARGENTINOS NO QUIEREN PRODUCUR ? RESULTA QUE EL GOBIERNO LES PUSO IMPUESTOS DE 95% DE LAZ UTILIDADES ,CUYOS RECURSOS LOS UTILIZAN PARA PAGAR BONOS Y TENER CAUTIVOS A SUS VOTANTES MEDISNTRS ESTOS PAGOS Y ASI  MANTENERSE EN EL PODER Y SEGUIR ROBANDO",1,0,falso_negativo,False,"[""BA"", ""OS "", ""N"", ""TIN"", ""USE""]","[0.0236, 0.0153, 0.0147, 0.0147, 0.0142]"
@USER No creo que muera antes de que los musulmanes tengan representación en el parlamento español.\nLa única esperanza es @USER,1,0,falso_negativo,False,"[""musulmanes "", ""\u00fanica "", ""espa\u00f1ol"", ""es "", ""representaci\u00f3n ""]","[0.0438, 0.0263, 0.0113, 0.0095, -0.0068]"
lastima que no se volvio loco del todo y se suicido de paso..,1,0,falso_negativo,True,"[""loco "", ""se "", ""paso"", ""y "", ""lastim""]","[0.0072, 0.005, -0.0047, 0.0038, -0.0032]"
Un ladron menos q llega a España y ganamos un asesino mas!,1,0,falso_negativo,True,"[""ganamos "", ""lad"", ""mas"", ""un "", ""Espa\u00f1a ""]","[-0.0877, 0.0422, 0.0318, 0.0294, 0.0243]"
"Ahora pides asilo político HDP, ahora las escorias oficialistas pidiendo asilo que tal. LINK",1,0,falso_negativo,True,"["", "", ""esco"", ""rias "", ""L"", ""istas ""]","[0.038, 0.0334, 0.0293, 0.0229, 0.0228]"
